CO2Air,TAir,TTop,TCan
1009.5756,23.79999998,24.79999998,24.79999998
1041.968399,23.7,24.7,24.7
941.1907995,23.5,24.5,24.5
926.7940005,23.6,24.6,24.6
932.1927995,23.6,24.6,24.6
1112.152794,23.7,24.7,24.7
989.78,24.9,25.9,25.9
971.783999,23.70000007,24.70000007,24.70000007
957.3872019,24.69999987,25.69999987,25.69999987
950.1888005,24.60000001,25.60000001,25.60000001
969.9843993,25.09999998,26.09999998,26.09999998
996.9784017,25.10000002,26.10000002,26.10000002
1047.3672,25.79999999,26.79999999,26.79999999
1050.9664,25.70000001,26.70000001,26.70000001
1011.375201,26.29999998,27.29999998,27.29999998
930.3932,26,27,27
899.8000001,26.10000001,27.10000001,27.10000001
901.5995998,26.19999999,27.19999999,27.19999999
930.3931981,26.10000001,27.10000001,27.10000001
948.3891994,26.2,27.2,27.2
937.5916027,26.50000001,27.50000001,27.50000001
1018.573589,26.90000001,27.90000001,27.90000001
910.5976109,26.99999999,27.99999999,27.99999999
887.2028008,27.1,28.1,28.1
903.3992,27,28,28
905.1987973,27.59999997,28.59999997,28.59999997
865.6076053,27.20000005,28.20000005,28.20000005
856.6096006,26.70000003,27.70000003,27.70000003
871.0063995,26.10000002,27.10000002,27.10000002
851.2108002,26.49999998,27.49999998,27.49999998
858.4092047,25.90000001,26.90000001,26.90000001
905.1987953,25.99999999,26.99999999,26.99999999
876.405201,25.10000003,26.10000003,26.10000003
1041.9684,25.2,26.2,26.2
971.7839995,25.19999999,26.19999999,26.19999999
964.585601,25.10000001,26.10000001,26.10000001
998.7779977,25.49999997,26.49999997,26.49999997
1007.776,24.90000002,25.90000002,25.90000002
1004.176801,24.5,25.5,25.5
1022.172802,24.49999996,25.49999996,25.49999996
1045.567598,24.10000004,25.10000004,25.10000004
1090.557598,24.2,25.2,25.2
1135.5476,24.5,25.5,25.5
1130.148803,24.70000001,25.70000001,25.70000001
1176.938394,24.79999999,25.79999999,25.79999999
1185.936399,25.09999998,26.09999998,26.09999998
1128.349202,25.29999999,26.29999999,26.29999999
1083.3592,25.3,26.3,26.3
1086.958395,25.29999996,26.29999996,26.29999996
1036.569605,24.90000004,25.90000004,25.90000004
1061.763999,25.09999999,26.09999999,26.09999999
1050.9664,24.6,25.6,25.6
1061.764,24.69999999,25.69999999,25.69999999
1067.162799,24.60000001,25.60000001,25.60000001
1074.3612,24.50000001,25.50000001,25.50000001
1013.174802,24.5,25.5,25.5
1018.573601,24.8,25.8,25.8
1054.565603,24.89999996,25.89999996,25.89999996
1081.559597,24.50000004,25.50000004,25.50000004
1115.751999,24.10000001,25.10000001,25.10000001
1160.742,24.2,25.2,25.2
1202.132802,24.10000001,25.10000001,25.10000001
1229.126796,24.19999999,25.19999999,25.19999999
1182.337203,24.29999999,25.29999999,25.29999999
1216.529599,24.10000001,25.10000001,25.10000001
1238.124801,24.1,25.1,25.1
1270.517591,24.2,25.2,25.2
1180.537609,24.2,25.2,25.2
1223.727999,24.2,25.2,25.2
1214.73,24.1,25.1,25.1
1279.515595,24.30000001,25.30000001,25.30000001
1203.93241,24.39999999,25.39999999,25.39999999
1203.9324,24.20000001,25.20000001,25.20000001
1207.5316,24.00000001,25.00000001,25.00000001
1257.920399,24.2,25.2,25.2
1238.1248,24.09999995,25.09999995,25.09999995
1238.1248,23.60000005,24.60000005,24.60000005
1268.717999,23.6,24.6,24.6
1299.3112,23.9,24.9,24.9
1322.705989,24,25,25
1160.742022,24,25,25
1236.325195,24,25,25
1229.1268,23.9,24.9,24.9
1230.926402,24.09999999,25.09999999,25.09999999
1277.715996,23.90000002,24.90000002,24.90000002
1239.924404,24.09999998,25.09999998,25.09999998
1202.132801,24,25,25
1175.1388,23.6,24.6,24.6
1257.920396,23.89999998,24.89999998,24.89999998
1193.134809,23.60000004,24.60000004,24.60000004
1230.926397,23.6,24.6,24.6
1284.914398,23.40000001,24.40000001,24.40000001
1265.118799,23.3,24.3,24.3
1230.926396,23.19999998,24.19999998,24.19999998
1189.535604,23.00000002,24.00000002,24.00000002
1248.922398,22.70000001,23.70000001,23.70000001
1254.3212,22.9,23.9,23.9
1230.926399,22.99999997,23.99999997,23.99999997
1221.928401,22.60000005,23.60000005,23.60000005
1185.936402,22.40000001,23.40000001,23.40000001
1238.124798,22.59999999,23.59999999,23.59999999
1248.922398,22.29999999,23.29999999,23.29999999
1175.138799,21.99999999,22.99999999,22.99999999
1162.541601,21.90000001,22.90000001,22.90000001
1218.329198,22.09999999,23.09999999,23.09999999
1225.5276,22.3,23.3,23.3
1230.926402,22.20000001,23.20000001,23.20000001
1259.719996,22.39999997,23.39999997,23.39999997
1250.722001,22.30000001,23.30000001,23.30000001
1182.337202,22.10000001,23.10000001,23.10000001
1245.323201,22.29999999,23.29999999,23.29999999
1277.715996,22.00000001,23.00000001,23.00000001
1234.525604,22.09999999,23.09999999,23.09999999
1279.515598,22.1,23.1,23.1
1308.3092,22.2,23.2,23.2
1238.124797,21.99999999,22.99999999,22.99999999
1198.533605,21.90000001,22.90000001,22.90000001
1319.106792,21.80000001,22.80000001,22.80000001
1266.918402,21.8,22.8,22.8
1248.922401,21.60000001,22.60000001,22.60000001
1292.112793,21.79999998,22.79999998,22.79999998
1218.329207,21.60000002,22.60000002,22.60000002
1113.952403,21.6,22.6,22.6
1070.762,21.5,22.5,22.5
1045.567597,21.50000002,22.50000002,22.50000002
998.7780063,21.79999996,22.79999996,22.79999996
993.3792004,22.09999998,23.09999998,23.09999998
978.9824005,21.90000001,22.90000001,22.90000001
1005.9764,22.1,23.1,23.1
991.5795986,22.1,23.1,23.1
977.1828014,22.1,23.1,23.1
960.9864005,22.1,23.1,23.1
966.3852,22,23,23
959.1867993,22.19999999,23.19999999,23.19999999
948.3892014,22.00000003,23.00000003,23.00000003
941.1908005,22,23,23
939.3912001,21.9,22.9,22.9
939.3911995,21.80000001,22.80000001,22.80000001
924.9943986,22,23,23
910.5976014,22,23,23
923.1947996,21.80000001,22.80000001,22.80000001
923.1948,21.8,22.8,22.8
914.1968006,21.70000001,22.70000001,22.70000001
905.1988012,21.79999999,22.79999999,22.79999999
908.7979998,21.60000001,22.60000001,22.60000001
912.3971999,21.6,22.6,22.6
